data	One_4	One_5	One_6	One_7	One_10	One_11	One_12	One_16	One_18	One_19	One_20	One_24	One_25	One_28
Two_9	0	0	0	0	0	0	0	0	0	10	0	0	0	0
Two_3	0	0	0	0	7	0	0	0	0	0	0	0	0	0
Two_15	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Two_6	0	0	0	0	0	0	0	0	0	0	0	18	0	0
Two_29	0	0	0	22	0	0	0	0	0	0	0	0	0	0
Two_12	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Two_24	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Two_26	0	21	0	0	0	0	0	0	0	0	0	0	0	0
Two_11	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Two_30	0	0	0	0	0	0	0	0	12	0	0	0	0	0
Two_16	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Two_8	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Two_1	0	0	0	0	0	0	11	0	0	0	0	0	0	0
Two_5	0	0	0	0	0	0	0	0	0	0	15	0	0	0
